2024-02-01 18:02:11 INFO  HomePage :32 - get the title of the page: 
2024-02-01 18:02:542 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (b1cb4f256b50897a2596919c453490b4)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-02-01 18:02:189 INFO  HomePage :44 - click on JoinNowTab: [[ChromeDriver: chrome on windows (b1cb4f256b50897a2596919c453490b4)] -> xpath: //a[normalize-space()='Join Now']]
2024-02-01 18:02:901 INFO  HomePage :32 - get the title of the page: 
2024-02-01 18:02:226 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (25fce917cbea54281ecc983c46e6b42b)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-02-01 18:02:754 INFO  HomePage :59 - selectTopMenu: [[[ChromeDriver: chrome on windows (25fce917cbea54281ecc983c46e6b42b)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (25fce917cbea54281ecc983c46e6b42b)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (25fce917cbea54281ecc983c46e6b42b)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (25fce917cbea54281ecc983c46e6b42b)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (25fce917cbea54281ecc983c46e6b42b)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (25fce917cbea54281ecc983c46e6b42b)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (25fce917cbea54281ecc983c46e6b42b)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (25fce917cbea54281ecc983c46e6b42b)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (25fce917cbea54281ecc983c46e6b42b)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span]]
2024-02-01 18:02:369 INFO  OnlineSlotsPage :18 - Get text of OnlineSlot: [[ChromeDriver: chrome on windows (25fce917cbea54281ecc983c46e6b42b)] -> xpath: //h1[normalize-space()='Play Online Slots at Virgin Games']]
2024-02-01 18:02:769 INFO  HomePage :32 - get the title of the page: 
2024-02-01 18:02:199 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (f23100ad72e9c812661e25eea571e38e)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-02-01 18:02:744 INFO  HomePage :44 - click on JoinNowTab: [[ChromeDriver: chrome on windows (f23100ad72e9c812661e25eea571e38e)] -> xpath: //a[normalize-space()='Join Now']]
2024-02-01 18:02:428 INFO  HomePage :32 - get the title of the page: 
2024-02-01 18:02:158 INFO  HomePage :39 - click on cookies: [[ChromeDriver: chrome on windows (b576486bbaecc39b409e4012fa08c7e1)] -> xpath: //label[normalize-space()='Necessary cookies only']]
2024-02-01 18:02:12 INFO  HomePage :59 - selectTopMenu: [[[ChromeDriver: chrome on windows (b576486bbaecc39b409e4012fa08c7e1)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (b576486bbaecc39b409e4012fa08c7e1)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (b576486bbaecc39b409e4012fa08c7e1)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (b576486bbaecc39b409e4012fa08c7e1)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (b576486bbaecc39b409e4012fa08c7e1)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (b576486bbaecc39b409e4012fa08c7e1)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (b576486bbaecc39b409e4012fa08c7e1)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (b576486bbaecc39b409e4012fa08c7e1)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span], [[ChromeDriver: chrome on windows (b576486bbaecc39b409e4012fa08c7e1)] -> xpath: //li[@class='StyledNavigationMenuListItem-sc-v46bks-2 hRASAg']/a/span]]
2024-02-01 18:02:555 INFO  OnlineSlotsPage :18 - Get text of OnlineSlot: [[ChromeDriver: chrome on windows (b576486bbaecc39b409e4012fa08c7e1)] -> xpath: //h1[normalize-space()='Play Online Slots at Virgin Games']]
